product_key,product_id,product_name,category,sub_category,first_order_date,last_order_date,total_order_lines,total_orders,distinct_customers,total_sales,total_quantity,total_profit,average_line_discount,comparable_average_unit_sales,comparable_profit_margin_percentage,unknown_sales_lines,unknown_quantity_lines,unknown_profit_lines,loss_making_lines
13,FUR-BO-10001798,"Bush Somerset Collection Bookcase",Furniture,Bookcases,2025-04-09,2026-08-25,4,4,4,949.605000,12,-40.603800,0.212500,105.5116666667,-4.2758620690,1,0,1,1
14,FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases  Custom Colors",Furniture,Bookcases,2024-03-01,2026-09-23,8,8,8,5492.885000,26,15.049000,0.316250,211.2648076923,0.2739726027,0,0,0,5
15,FUR-BO-10001918,"Sauder Forest Hills Library with Doors  Woodland Oak Finish",Furniture,Bookcases,2024-06-28,2026-03-26,3,3,3,1014.174000,10,-418.548000,0.283333,101.4174000000,-41.2698412698,0,0,0,3
16,FUR-BO-10001972,"O'Sullivan 4-Shelf Bookcase in Odessa Pine",Furniture,Bookcases,2023-01-19,2026-12-08,7,7,7,2437.747000,37,-1016.232000,0.421429,76.1795937500,-37.1900826446,1,0,1,5
17,FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases  Custom Colors",Furniture,Bookcases,2025-03-19,2026-11-17,4,4,3,544.614800,5,-310.864200,0.605000,108.9229600000,-57.0796460177,0,0,0,4
18,FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase  Hanover Cherry  *Special Order",Furniture,Bookcases,2026-12-18,2026-12-18,1,1,1,119.833000,1,-12.688200,0.150000,119.8330000000,-10.5882352941,0,0,0,1
19,FUR-BO-10002213,"DMI Eclipse Executive Suite Bookcases",Furniture,Bookcases,2023-09-20,2026-06-25,6,6,6,11046.609000,18,-9904.374600,0.183333,400.7840000000,-89.6598639456,0,2,0,4
20,FUR-BO-10002213-1,"Sauder Forest Hills Library  Woodland Oak Finish",Furniture,Bookcases,2024-07-25,2026-11-25,4,4,4,1170.134000,15,22.556800,0.125000,117.0134000000,-2.8915662651,1,0,0,1
21,FUR-BO-10002268,"Sauder Barrister Bookcases",Furniture,Bookcases,2024-11-20,2026-04-27,3,3,3,145.764000,16,-294.767200,0.406667,24.2940000000,-170.0000000000,2,0,0,3
22,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors",Furniture,Bookcases,2023-11-11,2026-09-15,8,8,8,5986.881200,351,780.330200,0.183750,17.4037244186,9.6774193548,1,0,0,3
23,FUR-BO-10002598,"Hon Metal Bookcases  Putty",Furniture,Bookcases,2024-02-06,2026-12-01,5,5,5,1320.228000,19,362.707800,0.040000,69.4856842105,27.4731182796,0,0,0,0
24,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases  Custom Colors",Furniture,Bookcases,2023-12-31,2026-07-17,6,6,6,4706.415000,25,-126.441000,0.325000,188.2566000000,-4.4776119403,1,1,0,1
25,FUR-BO-10002824,"Bush Mission Pointe Library",Furniture,Bookcases,2024-07-06,2026-06-03,3,3,3,748.860800,6,-36.235200,0.290000,124.8101333333,-8.1081081081,0,0,1,1
26,FUR-BO-10002853,"O'Sullivan 5-Shelf Heavy-Duty Bookcases",Furniture,Bookcases,2024-12-27,2025-12-05,4,4,4,540.804000,9,-12.291000,0.175000,60.0893333333,-2.2727272727,0,0,0,1
27,FUR-BO-10002916,"Rush Hierlooms Collection 1" Thick Stackable Bookcases",Furniture,Bookcases,2023-07-30,2024-11-27,4,4,4,2487.759000,15,410.352000,0.037500,165.8506000000,16.4948453608,0,0,0,0
28,FUR-BO-10003034,"O'Sullivan Elevations Bookcase  Cherry Finish",Furniture,Bookcases,2023-01-13,2026-10-27,5,5,5,1912.308000,18,-68.109600,0.200000,106.2393333333,-3.5616438356,0,0,0,3
29,FUR-BO-10003159,"Sauder Camden County Collection Libraries  Planked Cherry Finish",Furniture,Bookcases,2023-11-25,2026-12-08,7,7,7,1909.817800,19,-78.186400,0.145714,100.5167263158,-4.0939193257,0,0,0,5
30,FUR-BO-10003272,"O'Sullivan Living Dimensions 5-Shelf Bookcases",Furniture,Bookcases,2023-06-04,2025-06-21,6,6,6,3420.770400,21,-755.751600,0.240000,162.8938285714,-22.0930232558,0,0,0,6
31,FUR-BO-10003404,"Global Adaptabilites Bookcase  Cherry/Storm Gray Finish",Furniture,Bookcases,2026-09-17,2026-10-12,2,2,2,3447.840000,8,206.870400,0.000000,430.9800000000,6.0000000000,0,0,0,0
32,FUR-BO-10003433,"Sauder Cornerstone Collection Library",Furniture,Bookcases,2023-01-14,2026-04-14,3,3,3,322.192000,14,-81.167600,0.233333,23.0137142857,-25.1923076923,0,0,0,2
33,FUR-BO-10003441,"Bush Westfield Collection Bookcases  Fully Assembled",Furniture,Bookcases,2025-04-17,2026-12-30,8,8,6,1220.195000,23,125.938600,0.196250,61.1503333333,11.8108171235,3,1,1,1
34,FUR-BO-10003450,"Bush Westfield Collection Bookcases  Dark Cherry Finish",Furniture,Bookcases,2024-12-11,2025-12-08,3,3,3,649.376000,14,46.384000,0.233333,46.3840000000,8.0000000000,0,0,1,0
35,FUR-BO-10003546,"Hon 4-Shelf Metal Bookcases",Furniture,Bookcases,2023-11-18,2026-12-02,4,4,4,1171.368000,17,-191.862000,0.250000,47.6048571429,-22.8448275862,1,1,0,2
36,FUR-BO-10003660,"Bush Cubix Collection Bookcases  Fully Assembled",Furniture,Bookcases,2024-10-05,2026-12-22,3,3,3,729.234000,4,-53.035200,0.233333,182.3085000000,-18.4615384615,0,0,1,1
37,FUR-BO-10003893,"Sauder Camden County Collection Library",Furniture,Bookcases,2024-08-21,2025-12-02,2,2,2,1368.262000,16,-103.482000,0.235000,85.5163750000,-7.5630252101,0,0,0,1
38,FUR-BO-10003894,"Safco Value Mate Steel Bookcase  Baked Enamel Finish on Steel  Black",Furniture,Bookcases,2025-09-03,2026-04-01,3,3,3,802.074000,14,106.470000,0.200000,57.2910000000,17.6470588235,0,0,1,0
39,FUR-BO-10003965,"O'Sullivan Manor Hill 2-Door Library in Brianna Oak",Furniture,Bookcases,2024-08-06,2026-11-25,4,4,4,1646.918000,12,-285.948400,0.247500,137.2431666667,-17.3626373626,0,0,0,4
40,FUR-BO-10003966,"Sauder Facets Collection Library  Sky Alder Finish",Furniture,Bookcases,2023-01-31,2026-06-30,4,4,4,1068.625000,10,-8.549000,0.150000,152.6607142857,5.9200000000,1,0,0,1
41,FUR-BO-10004015,"Bush Andora Bookcase  Maple/Graphite Gray Finish",Furniture,Bookcases,2023-11-16,2026-12-25,9,9,9,3317.723500,29,135.588700,0.166667,104.0602931034,4.0867992767,0,1,0,1
42,FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase  Albany Pine Finish  *Special Order",Furniture,Bookcases,2023-03-18,2026-09-03,8,8,8,3273.555600,34,-208.650400,0.233750,112.8812275862,0.0861326443,1,0,0,3
43,FUR-BO-10004357,"O'Sullivan Living Dimensions 3-Shelf Bookcases",Furniture,Bookcases,2024-05-31,2025-03-24,4,4,4,2904.161000,17,-170.833000,0.200000,170.8330000000,-5.8823529412,0,0,0,3
44,FUR-BO-10004360,"Rush Hierlooms Collection Rich Wood Bookcases",Furniture,Bookcases,2024-12-25,2026-10-19,2,2,2,489.379200,3,-70.831200,0.160000,109.4664000000,-14.4736842105,0,1,0,1
45,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases  Baked Enamel Finish on Steel  Gray",Furniture,Bookcases,2023-01-26,2025-07-28,6,6,6,617.526000,17,4.258800,0.253333,51.4605000000,0.6896551724,1,0,1,2
46,FUR-BO-10004467,"Bestar Classic Bookcase",Furniture,Bookcases,2023-05-10,2026-10-30,8,8,8,1897.810200,31,-650.934900,0.315000,61.2196838710,-38.3392226148,0,0,1,4
47,FUR-BO-10004690,"O'Sullivan Cherrywood Estates Traditional Barrister Bookcase",Furniture,Bookcases,2024-07-20,2024-08-09,2,2,2,1072.344000,9,-78.363600,0.150000,119.1493333333,-7.3076923077,0,0,0,1
48,FUR-BO-10004695,"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine",Furniture,Bookcases,2024-01-02,2026-05-19,7,7,7,4886.460000,31,566.467400,0.150000,157.6277419355,11.5925925926,0,0,0,1
49,FUR-BO-10004709,"Bush Westfield Collection Bookcases  Medium Cherry Finish",Furniture,Bookcases,2024-07-17,2026-12-28,9,9,8,1426.887800,30,-20.293000,0.230000,44.9345000000,-1.4221861032,0,1,0,3
50,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish",Furniture,Bookcases,2024-09-17,2026-06-08,5,5,5,15610.965600,24,-669.544800,0.234000,650.4569000000,-4.2889390519,0,0,0,2
51,FUR-CH-10000015,"Hon Multipurpose Stacking Arm Chairs",Furniture,Chairs,2023-05-11,2026-08-21,6,6,6,6584.640000,36,814.416000,0.133333,182.9066666667,12.3684210526,0,0,0,2
52,FUR-CH-10000155,"Global Comet Stacking Armless Chair",Furniture,Chairs,2023-07-06,2026-12-01,6,6,6,3050.310000,251,514.366000,0.166667,12.2502409639,15.2941176471,1,0,0,0
53,FUR-CH-10000225,"Global Geo Office Task Chair  Gray",Furniture,Chairs,2023-02-12,2026-12-11,9,9,7,1951.616000,38,-242.944000,0.177778,65.0538666667,-17.3532569454,2,1,2,6
54,FUR-CH-10000229,"Global Enterprise Series Seating High-Back Swivel/Tilt Chairs",Furniture,Chairs,2023-10-11,2026-06-30,4,4,4,2032.350000,10,-460.666000,0.250000,203.2350000000,-22.6666666667,0,0,0,4
55,FUR-CH-10000309,"Global Comet Stacking Arm Chair",Furniture,Chairs,2024-04-27,2026-01-19,5,5,5,6084.144000,17,697.141500,0.160000,357.8908235294,11.4583333333,0,0,0,2
56,FUR-CH-10000422,"Global Highback Leather Tilter in Burgundy",Furniture,Chairs,2023-01-13,2026-11-18,9,9,9,2647.809000,34,27.297000,0.144444,77.8767352941,1.1764705882,0,0,1,5
57,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back",Furniture,Chairs,2023-06-22,2026-11-29,12,12,12,10637.528000,51,1927.442000,0.141667,208.5789803922,18.1192660550,0,0,0,0
58,FUR-CH-10000513,"High-Back Leather Manager's Chair",Furniture,Chairs,2023-12-19,2026-07-18,9,9,9,4770.633000,42,-2182.532100,0.205556,113.5865000000,-45.7493188011,0,0,0,7
59,FUR-CH-10000553,"Metal Folding Chairs  Beige  4/Carton",Furniture,Chairs,2023-07-26,2026-10-30,5,5,5,576.980000,23,117.771800,0.120000,30.3673684211,20.4487179487,1,0,1,0
60,FUR-CH-10000595,"Safco Contoured Stacking Chairs",Furniture,Chairs,2023-11-23,2026-06-12,8,8,8,5697.760000,27,691.360000,0.125000,211.0281481481,13.8755980861,0,0,1,0
61,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair  Black",Furniture,Chairs,2023-11-11,2026-09-24,9,9,9,3412.148000,30,573.724000,0.155556,121.8624285714,13.2743362832,2,1,0,0
62,FUR-CH-10000749,"Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms",Furniture,Chairs,2023-10-14,2026-10-22,2,2,2,2207.956000,13,231.654400,0.100000,169.8427692308,10.4918032787,0,0,0,1
63,FUR-CH-10000785,"Global Ergonomic Managers Chair",Furniture,Chairs,2024-08-08,2026-11-24,11,11,11,6008.536000,39,785.453200,0.136364,154.0650256410,13.0722891566,0,0,0,3
64,FUR-CH-10000847,"Global Executive Mid-Back Manager's Chair",Furniture,Chairs,2023-11-24,2026-12-09,6,6,5,4626.582000,18,750.728400,0.116667,257.0323333333,16.2264150943,0,0,0,1
65,FUR-CH-10000863,"Novimex Swivel Fabric Task Chair",Furniture,Chairs,2023-03-01,2026-05-28,8,8,8,2913.914000,25,-445.391000,0.243750,116.5565600000,-15.2849740933,0,0,0,6
66,FUR-CH-10000988,"Hon Olson Stacker Stools",Furniture,Chairs,2023-05-26,2026-07-21,10,10,10,5294.456000,44,833.595200,0.160000,120.3285454545,15.7446808511,0,0,0,1
67,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair  Gray",Furniture,Chairs,2023-02-11,2026-12-25,10,10,9,1315.224000,39,133.958000,0.160000,50.5855384615,9.7222222222,3,0,1,3
68,FUR-CH-10001146-1,"Global Task Chair  Black",Furniture,Chairs,2025-09-05,2026-07-06,5,5,5,463.099000,12,-80.406200,0.240000,38.5915833333,-17.3626373626,0,0,0,5
69,FUR-CH-10001190,"Global Deluxe High-Back Office Chair in Storm",Furniture,Chairs,2023-10-05,2026-10-05,5,5,3,1744.472000,16,-206.969200,0.180000,109.0295000000,-11.8642890227,0,0,0,4
70,FUR-CH-10001215,"Global Troy Executive Leather Low-Back Tilter",Furniture,Chairs,2023-07-21,2026-11-13,9,9,9,12975.382000,32,951.862000,0.200000,405.4806875000,7.3359073359,0,0,0,1
71,FUR-CH-10001270,"Harbour Creations Steel Folding Chair",Furniture,Chairs,2023-03-01,2026-12-29,10,10,9,2271.045000,34,446.097600,0.130000,62.6266071429,13.8091187097,2,1,0,0
72,FUR-CH-10001394,"Global Leather Executive Chair",Furniture,Chairs,2023-04-29,2026-12-24,7,7,7,4597.969000,21,701.980000,0.185714,270.4687647059,9.1603053435,2,0,0,0
73,FUR-CH-10001482,"Office Star - Mesh Screen back chair with Vinyl seat",Furniture,Chairs,2023-03-22,2026-11-20,7,7,7,2200.464000,20,-130.980000,0.142857,110.0232000000,-5.9523809524,0,0,0,4
74,FUR-CH-10001545,"Hon Comfortask Task/Swivel Chairs",Furniture,Chairs,2024-09-25,2026-10-10,6,6,6,1686.904000,15,-36.473600,0.150000,96.5030666667,-2.1621621622,0,1,0,3
75,FUR-CH-10001708,"Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back",Furniture,Chairs,2023-12-10,2026-12-18,7,7,7,2720.914000,32,425.759600,0.157143,118.3006086957,5.8549222798,1,0,0,1
76,FUR-CH-10001714,"Global Leather & Oak Executive Chair  Burgundy",Furniture,Chairs,2023-11-24,2026-11-10,5,5,5,1689.968000,13,-114.676400,0.180000,129.9975384615,-6.7857142857,0,0,0,4
77,FUR-CH-10001797,"Safco Chair Connectors  6/Carton",Furniture,Chairs,2023-07-12,2026-12-04,4,4,4,380.952000,26,170.851200,0.150000,29.3040000000,6.7676767677,1,0,0,1
78,FUR-CH-10001802,"Hon Every-Day Chair Series Swivel Task Chairs",Furniture,Chairs,2025-02-16,2026-10-09,3,3,3,967.840000,6,12.098000,0.200000,96.7840000000,1.2500000000,0,1,0,1
79,FUR-CH-10001854,"Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat",Furniture,Chairs,2023-12-01,2026-12-02,8,8,8,8774.500000,28,1305.645600,0.100000,313.3750000000,14.8800000000,0,0,0,0
80,FUR-CH-10001891,"Global Deluxe Office Fabric Chairs",Furniture,Chairs,2023-12-26,2026-11-03,6,6,6,1113.368000,254,196.759000,0.116667,4.4534720000,18.0612244898,1,0,1,0
81,FUR-CH-10001973,"Office Star Flex Back Scooter Chair with White Frame",Furniture,Chairs,2023-11-23,2026-11-19,7,7,7,1775.680000,21,-244.156000,0.214286,84.5561904762,-14.6666666667,0,0,1,5
82,FUR-CH-10002017,"SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair",Furniture,Chairs,2023-11-16,2026-08-17,5,5,5,245.088000,12,14.918400,0.200000,20.4240000000,6.0869565217,0,0,0,2
83,FUR-CH-10002024,"HON 5400 Series Task Chairs for Big and Tall",Furniture,Chairs,2023-07-20,2026-08-17,8,8,8,18365.676000,39,0.000000,0.200000,540.1669411765,-3.8167938931,1,0,0,3
84,FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms  Plum",Furniture,Chairs,2024-12-26,2026-01-30,2,2,2,694.194000,7,-158.485800,0.250000,99.1705714286,-22.8301886792,0,0,0,2
85,FUR-CH-10002073,"Hon Olson Stacker Chairs",Furniture,Chairs,2024-11-02,2026-08-13,4,4,4,5427.990000,22,1292.126400,0.075000,246.7268181818,23.8048780488,0,0,0,0
86,FUR-CH-10002084,"Hon Mobius Operator's Chair",Furniture,Chairs,2024-03-08,2026-07-15,5,5,5,2041.634000,13,410.786600,0.040000,122.9900000000,20.1204819277,1,2,1,0
87,FUR-CH-10002126,"Hon Deluxe Fabric Upholstered Stacking Chairs",Furniture,Chairs,2023-07-12,2026-11-25,4,4,4,2586.188000,15,-9.759200,0.275000,172.4125333333,-0.8000000000,0,0,2,1
88,FUR-CH-10002304,"Global Stack Chair without Arms  Black",Furniture,Chairs,2023-03-30,2026-10-12,7,7,7,901.506000,44,5.196000,0.171429,20.4887727273,0.6968641115,0,0,1,2
89,FUR-CH-10002317,"Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs",Furniture,Chairs,2026-08-07,2026-08-07,1,1,1,207.184000,1,25.898000,0.200000,207.1840000000,12.5000000000,0,0,0,0
90,FUR-CH-10002320,"Hon Pagoda Stacking Chairs",Furniture,Chairs,2023-05-10,2026-09-11,4,4,4,6483.796000,22,1283.920000,0.100000,294.7180000000,28.9855072464,0,0,1,0
91,FUR-CH-10002331,"Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms",Furniture,Chairs,2023-01-20,2026-08-31,6,6,6,5019.318000,24,832.993200,0.133333,313.7073750000,10.3546099291,1,0,0,1
92,FUR-CH-10002335,"Hon GuestStacker Chair",Furniture,Chairs,2023-08-05,2026-12-22,9,9,9,4669.402000,29,938.413800,0.111111,186.1080000000,9.8717948718,2,1,1,0
93,FUR-CH-10002372,"Office Star - Ergonomically Designed Knee Chair",Furniture,Chairs,2023-07-18,2026-10-08,7,7,7,1311.876000,19,-29.152800,0.171429,69.0461052632,-2.4657534247,0,0,1,3
94,FUR-CH-10002439,"Iceberg Nesting Folding Chair  19w x 6d x 43h",Furniture,Chairs,2023-03-25,2026-12-24,6,6,6,1589.406000,31,178.153200,0.116667,51.2711612903,13.7219730942,0,0,1,0
95,FUR-CH-10002602,"DMI Arturo Collection Mission-style Design Wood Chair",Furniture,Chairs,2023-04-18,2026-12-29,11,11,10,4619.988000,37,486.155600,0.190909,124.8645405405,10.5228758170,0,0,0,3
96,FUR-CH-10002647,"Situations Contoured Folding Chairs  4/Set",Furniture,Chairs,2023-06-08,2026-12-22,15,15,14,3641.274000,64,234.234000,0.180000,56.8949062500,6.4327485380,0,0,0,6
97,FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs  Squared Back",Furniture,Chairs,2023-06-08,2023-11-07,2,2,2,683.144000,4,73.194000,0.250000,170.7860000000,0.0000000000,1,1,0,0
98,FUR-CH-10002774,"Global Deluxe Stacking Chair  Gray",Furniture,Chairs,2023-10-03,2026-12-16,7,7,7,764.700000,19,76.979800,0.214286,40.2473684211,10.0666666667,0,0,0,1
99,FUR-CH-10002780,"Office Star - Task Chair with Contemporary Loop Arms",Furniture,Chairs,2023-03-07,2026-07-20,2,2,2,600.468000,8,47.309600,0.150000,75.0585000000,7.8787878788,0,0,0,0
100,FUR-CH-10002880,"Global High-Back Leather Tilter  Burgundy",Furniture,Chairs,2023-07-07,2026-12-29,14,14,14,5436.158000,54,-474.741400,0.185714,100.6695925926,-8.7330316742,0,0,0,10
101,FUR-CH-10002961,"Leather Task Chair  Black",Furniture,Chairs,2023-09-26,2026-12-11,6,6,6,864.310000,19,54.588000,0.200000,72.0258333333,-1.0526315789,1,0,0,1
102,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment  Black",Furniture,Chairs,2023-03-31,2026-11-14,11,10,10,5989.204000,197,198.970200,0.227273,30.4020507614,3.5357142857,0,0,1,5
103,FUR-CH-10003061,"Global Leather Task Chair  Black",Furniture,Chairs,2024-04-18,2026-11-09,8,8,8,1448.839000,19,63.892900,0.137500,76.2546842105,4.4099378882,0,0,0,5
104,FUR-CH-10003199,"Office Star - Contemporary Task Swivel Chair",Furniture,Chairs,2024-06-26,2026-09-11,6,6,6,1509.328000,20,182.007200,0.241667,88.7840000000,8.5185185185,1,0,1,1
105,FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms  Charcoal",Furniture,Chairs,2023-10-04,2026-09-26,9,9,9,3418.578000,35,-2214.871800,0.188889,103.5932727273,-65.4789272031,1,0,0,8
106,FUR-CH-10003312,"Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs",Furniture,Chairs,2023-07-26,2026-11-10,6,6,6,5282.424000,24,-989.049600,0.216667,220.1010000000,-18.7234042553,0,0,0,6
107,FUR-CH-10003379,"Global Commerce Series High-Back Swivel/Tilt Chairs",Furniture,Chairs,2023-03-14,2026-12-01,9,9,9,7979.440000,33,883.438000,0.166667,241.8012121212,12.1093750000,0,0,1,4
108,FUR-CH-10003396,"Global Deluxe Steno Chair",Furniture,Chairs,2023-05-21,2026-12-08,10,10,10,1562.694000,26,-1119.289200,0.210000,60.1036153846,-71.7733990148,1,1,0,8
109,FUR-CH-10003535,"Global Armless Task Chair  Royal Blue",Furniture,Chairs,2024-04-25,2026-09-08,8,8,8,725.662000,263,-20.733200,0.175000,2.4537768924,-11.5966386555,3,1,0,4
110,FUR-CH-10003606,"SAFCO Folding Chair Trolley",Furniture,Chairs,2025-10-14,2026-09-15,3,3,3,705.320000,6,141.064000,0.166667,117.5533333333,23.4042553191,0,0,1,1
111,FUR-CH-10003746,"Hon 4070 Series Pagoda Round Back Stacking Chairs",Furniture,Chairs,2023-12-01,2026-06-01,7,7,7,3338.192000,21,937.261600,0.142857,256.7840000000,7.9069767442,2,0,1,2
112,FUR-CH-10003761,"Global Italian Leather Office Chair",Furniture,Chairs,2023-09-09,2023-10-15,2,2,2,969.252000,8,204.328800,0.150000,121.1565000000,21.0810810811,0,0,0,1
113,FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair  Khaki",Furniture,Chairs,2023-10-18,2026-11-19,14,14,14,3439.044000,296,-503.119400,0.228571,12.0246293706,-12.7777777778,2,0,0,12
114,FUR-CH-10003817,"Global Value Steno Chair  Gray",Furniture,Chairs,2023-08-05,2026-12-16,10,10,9,1633.906000,34,200.442000,0.160000,45.3019166667,7.9925650558,3,1,1,3
115,FUR-CH-10003833,"Novimex Fabric Task Chair",Furniture,Chairs,2023-08-15,2026-10-30,9,9,9,1890.380000,671,-131.107000,0.188889,2.8172578241,-6.9354838710,0,0,0,8
116,FUR-CH-10003846,"Hon Valutask Swivel Chairs",Furniture,Chairs,2024-12-17,2026-12-17,4,4,4,1242.054000,13,139.352400,0.075000,95.5426153846,11.2195121951,0,0,0,1
117,FUR-CH-10003956,"Novimex High-Tech Fabric Mesh Task Chair",Furniture,Chairs,2024-07-03,2026-12-08,4,4,4,922.740000,16,-133.442400,0.150000,57.6712500000,-14.4615384615,0,0,0,3
118,FUR-CH-10003968,"Novimex Turbo Task Chair",Furniture,Chairs,2024-04-16,2026-12-28,6,6,6,1341.522000,22,-32.650800,0.133333,60.9782727273,-2.4338624339,0,0,0,3
119,FUR-CH-10003973,"GuestStacker Chair with Chrome Finish Legs",Furniture,Chairs,2023-04-25,2026-12-11,8,8,8,9070.944000,31,773.260800,0.225000,292.6110967742,8.5245901639,0,0,0,2
120,FUR-CH-10003981,"Global Commerce Series Low-Back Swivel/Tilt Chairs",Furniture,Chairs,2023-05-26,2026-11-30,7,7,7,4420.056000,24,41.116800,0.271429,184.1690000000,0.9302325581,0,0,0,6
121,FUR-CH-10004063,"Global Deluxe High-Back Manager's Chair",Furniture,Chairs,2023-01-06,2026-03-27,12,12,8,11410.614000,43,1867.443800,0.237500,244.0808837209,16.8119229298,1,2,1,3
122,FUR-CH-10004086,"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs",Furniture,Chairs,2024-03-29,2026-09-20,8,8,8,7497.461000,271,1388.634800,0.187500,28.0803782772,17.1206225681,1,0,0,2
123,FUR-CH-10004218,"Global Fabric Manager's Chair  Dark Gray",Furniture,Chairs,2023-12-31,2026-07-18,9,9,9,3150.576000,35,484.704000,0.133333,90.0164571429,15.8415841584,0,0,1,1
124,FUR-CH-10004287,"SAFCO Arco Folding Chair",Furniture,Chairs,2023-09-08,2026-11-30,15,15,13,11620.396000,296,1182.941200,0.200000,39.6600546075,10.1151684378,1,0,1,3
125,FUR-CH-10004289,"Global Super Steno Chair",Furniture,Chairs,2023-09-08,2026-10-30,7,7,7,2389.902000,30,0.000000,0.142857,79.6634000000,0.0000000000,0,0,0,4
126,FUR-CH-10004477,"Global Push Button Manager's Chair  Indigo",Furniture,Chairs,2023-03-07,2025-12-01,9,9,9,2185.951000,44,283.747400,0.200000,49.6807045455,12.9805013928,0,0,0,3
