region,country,state,city,distinct_postal_codes,total_orders,distinct_customers,total_order_lines,total_sales,total_quantity,total_profit,average_complete_order_value,comparable_profit_margin_percentage,average_shipping_days,minimum_shipping_days,maximum_shipping_days,unknown_sales_lines,unknown_quantity_lines,unknown_profit_lines,orders_with_unknown_sales,orders_with_unknown_profit,complete_loss_making_orders
Central,"United States",Missouri,Gladstone,1,1,1,2,164.340000,5,52.588800,164.3400000000,32.0000000000,1.0000,1,1,0,0,0,0,0,0
Central,"United States",Missouri,Independence,1,2,2,2,2417.370000,6,975.663000,1208.6850000000,40.3605157671,6.0000,5,7,0,0,0,0,0,0
Central,"United States",Missouri,"Jefferson City",1,1,1,1,86.620000,2,8.662000,86.6200000000,10.0000000000,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Missouri,Kirkwood,1,1,1,2,241.340000,4,47.134400,241.3400000000,19.5302892185,1.0000,1,1,0,1,0,0,0,0
Central,"United States",Missouri,"Saint Charles",1,3,3,4,270.940000,13,94.843600,90.3133333333,35.0053886469,2.3333,0,4,0,0,0,0,0,0
Central,"United States",Missouri,"Saint Louis",1,4,4,5,260.040000,26,98.554100,86.6800000000,33.1150976773,4.2500,3,6,1,0,0,1,0,0
Central,"United States",Missouri,"Saint Peters",1,1,1,1,697.160000,4,146.403600,697.1600000000,21.0000000000,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Missouri,Springfield,1,14,13,39,15043.835500,697,3638.335100,1074.5596785714,25.4343674885,4.2143,1,6,0,1,2,0,2,0
Central,"United States",Nebraska,Fremont,1,7,7,8,1039.050000,33,179.469600,173.1750000000,15.1177325442,2.7143,0,6,1,0,0,1,0,0
Central,"United States",Nebraska,"Grand Island",1,1,1,1,15.960000,2,7.980000,15.9600000000,50.0000000000,5.0000,5,5,0,0,0,0,0,0
Central,"United States",Nebraska,Norfolk,1,1,1,1,17.430000,3,8.017800,17.4300000000,46.0000000000,7.0000,7,7,0,0,0,0,0,0
Central,"United States",Nebraska,Omaha,1,14,14,28,5939.450000,98,1757.146800,302.9076923077,26.9402229671,3.2143,0,6,1,0,0,1,0,1
Central,"United States","North Dakota",Fargo,1,2,2,7,919.910000,30,230.149700,459.9550000000,25.0187192225,3.5000,2,5,0,0,0,0,0,0
Central,"United States",Oklahoma,"Broken Arrow",1,3,3,5,2439.530000,17,361.818200,813.1766666667,22.3677322436,4.6667,3,6,0,0,1,0,1,0
Central,"United States",Oklahoma,Edmond,1,1,1,2,959.550000,9,243.103900,959.5500000000,25.3351987911,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Oklahoma,Lawton,1,2,2,4,1057.490000,13,235.508500,528.7450000000,22.2705179245,3.5000,0,7,0,0,0,0,0,0
Central,"United States",Oklahoma,Muskogee,1,2,2,4,1721.700000,14,442.596600,860.8500000000,25.7069524307,2.5000,0,5,0,0,0,0,0,0
Central,"United States",Oklahoma,Norman,1,2,2,2,1351.330000,9,269.528700,675.6650000000,19.9454389379,2.0000,0,4,0,0,0,0,0,0
Central,"United States",Oklahoma,"Oklahoma City",1,11,11,23,6558.660000,69,1417.810300,655.8660000000,22.5512911048,4.2727,0,7,1,1,2,1,2,0
Central,"United States",Oklahoma,Tulsa,1,13,13,26,5222.200000,107,1383.600800,384.0745454545,26.0953605656,4.3846,0,7,2,0,3,2,2,0
Central,"United States","South Dakota",Aberdeen,1,1,1,1,25.500000,3,6.630000,25.5000000000,26.0000000000,3.0000,3,3,0,0,0,0,0,0
Central,"United States","South Dakota","Rapid City",1,1,1,2,152.640000,4,44.768400,152.6400000000,29.3294025157,3.0000,3,3,0,0,0,0,0,0
Central,"United States","South Dakota","Sioux Falls",1,3,3,9,1137.420000,35,343.429900,379.1400000000,30.1937630778,5.0000,4,6,0,0,0,0,0,0
Central,"United States",Texas,Abilene,1,1,1,1,NULL,2,-3.758400,NULL,NULL,2.0000,2,2,1,0,0,1,0,1
Central,"United States",Texas,Allen,1,2,2,4,290.206000,13,-8.505300,145.1030000000,-45.8752973830,3.0000,1,5,0,0,1,0,1,1
Central,"United States",Texas,Amarillo,1,7,7,10,3773.062800,32,-2100.704000,539.0089714286,-56.6524746549,3.1429,0,6,0,0,1,0,1,3
Central,"United States",Texas,Arlington,1,10,10,28,5041.360000,131,-274.185000,205.2730000000,6.6642704383,4.0000,2,6,4,0,5,4,4,5
Central,"United States",Texas,Austin,1,18,18,39,6009.198000,131,175.120100,296.7170588235,8.5655685097,4.3889,0,6,1,0,4,1,4,9
Central,"United States",Texas,Baytown,1,1,1,1,10.368000,2,3.628800,10.3680000000,35.0000000000,5.0000,5,5,0,0,0,0,0,0
Central,"United States",Texas,Beaumont,1,3,3,5,472.116000,21,59.116400,157.3720000000,12.5215836786,2.6667,1,5,0,0,0,0,0,1
Central,"United States",Texas,Bedford,1,2,2,5,226.256000,25,7.750200,113.1280000000,32.5000000000,3.5000,2,5,0,0,1,0,1,0
Central,"United States",Texas,Brownsville,1,4,4,7,1292.226800,27,202.072000,323.0567000000,15.6375026427,3.0000,2,6,0,0,0,0,0,2
Central,"United States",Texas,Bryan,1,2,2,6,616.656000,27,-177.894000,308.3280000000,-52.3435601458,2.0000,0,4,0,0,1,0,1,1
Central,"United States",Texas,Carrollton,1,8,8,15,800.702000,50,-470.213900,114.3860000000,-65.2816903167,4.7500,2,6,1,0,0,1,0,3
Central,"United States",Texas,"Cedar Hill",1,2,2,2,122.376000,6,42.831600,61.1880000000,35.0000000000,4.5000,4,5,0,0,0,0,0,0
Central,"United States",Texas,"College Station",1,2,2,3,262.370000,11,-117.622400,233.0580000000,-22.8571428571,4.5000,2,7,1,1,0,1,0,2
Central,"United States",Texas,Conroe,1,1,1,1,111.672000,9,NULL,111.6720000000,NULL,3.0000,3,3,0,0,1,0,1,0
Central,"United States",Texas,Coppell,1,2,2,4,135.936000,17,41.489200,67.9680000000,30.5211275895,2.5000,1,4,0,0,0,0,0,0
Central,"United States",Texas,"Corpus Christi",1,3,3,8,220.544000,33,-43.730400,73.5146666667,-19.8284242600,3.3333,2,4,0,0,0,0,0,2
Central,"United States",Texas,Dallas,3,80,77,157,18564.285000,702,-2784.533600,254.7228212121,-16.3434403334,4.0250,0,7,15,3,7,14,7,35
Central,"United States",Texas,"Deer Park",1,1,1,1,6.924000,6,-10.386000,6.9240000000,-150.0000000000,2.0000,2,2,0,0,0,0,0,1
Central,"United States",Texas,Edinburg,1,2,2,3,88.276000,11,27.808600,44.1380000000,31.5018804658,3.0000,2,4,0,0,0,0,0,0
Central,"United States",Texas,"El Paso",1,10,10,19,3521.792000,65,-164.284300,206.1400000000,2.1623072869,3.4000,0,6,2,0,2,2,2,4
Central,"United States",Texas,"Fort Worth",1,12,12,27,4537.522800,102,298.732700,519.9058500000,6.2126488863,3.6667,0,6,5,0,0,4,0,8
Central,"United States",Texas,Frisco,1,2,2,2,30.336000,10,-18.801600,30.3360000000,-57.5000000000,3.5000,3,4,1,0,0,1,0,2
Central,"United States",Texas,Garland,1,3,3,4,37.320000,12,-32.373000,18.6600000000,-96.9212218650,2.6667,2,4,1,0,0,1,0,2
Central,"United States",Texas,"Grand Prairie",1,7,7,13,1012.486000,45,-85.231100,144.6408571429,-8.4180028168,5.0000,4,7,0,0,0,0,0,4
Central,"United States",Texas,Grapevine,1,1,1,2,41.528000,5,8.774900,41.5280000000,21.1300809093,4.0000,4,4,0,1,0,0,0,0
Central,"United States",Texas,"Haltom City",1,2,2,4,269.328000,13,51.955800,134.6640000000,19.2909018000,5.0000,3,7,0,0,0,0,0,0
Central,"United States",Texas,Harlingen,1,2,2,5,230.072000,21,27.648900,79.3440000000,NULL,4.5000,3,6,1,0,2,1,2,0
Central,"United States",Texas,Houston,4,188,172,377,58031.523400,2629,-9894.599900,293.9349302857,-16.6921011445,3.8298,0,7,14,7,31,13,30,78
Central,"United States",Texas,Huntsville,1,10,10,26,5901.956800,121,-516.127700,641.8356000000,-11.4585916076,4.3000,1,6,3,0,3,2,2,5
Central,"United States",Texas,Irving,1,5,5,8,605.500000,23,-96.725300,121.1000000000,-16.7567838383,5.0000,4,6,0,0,1,0,1,1
Central,"United States",Texas,Keller,1,1,1,1,6.000000,2,2.100000,6.0000000000,35.0000000000,4.0000,4,4,0,0,0,0,0,0
Central,"United States",Texas,"La Porte",1,1,1,2,30.392000,6,-32.527200,30.3920000000,-107.0255330350,2.0000,2,2,0,0,0,0,0,1
Central,"United States",Texas,Laredo,1,4,4,13,1011.356000,37,-308.929100,138.2420000000,-28.4198965100,3.0000,0,6,1,0,0,1,0,2
Central,"United States",Texas,"League City",1,2,2,6,875.368000,25,-16.711100,437.6840000000,-8.3403901595,3.0000,2,4,0,0,1,0,1,1
Central,"United States",Texas,Lubbock,1,4,4,6,592.564000,22,158.460700,148.1410000000,27.9273145766,3.5000,0,7,0,0,1,0,1,1
Central,"United States",Texas,Mansfield,1,2,2,2,558.877000,13,-66.791300,279.4385000000,-11.9509838480,2.5000,2,3,0,0,0,0,0,1
Central,"United States",Texas,Mcallen,1,4,4,19,866.716000,54,53.596200,216.6790000000,5.0213112822,4.5000,4,5,0,0,3,0,3,0
Central,"United States",Texas,Mesquite,1,3,3,5,40.596000,13,-87.620000,0.8760000000,-160.0000000000,3.0000,0,5,2,1,0,2,0,2
Central,"United States",Texas,"Missouri City",1,1,1,1,6.370000,7,-9.555000,6.3700000000,-150.0000000000,4.0000,4,4,0,0,0,0,0,1
Central,"United States",Texas,Odessa,1,4,3,5,962.362000,22,-69.711800,320.7873333333,-4.6697812258,4.7500,3,6,1,0,0,1,0,3
Central,"United States",Texas,Pasadena,1,9,9,17,2475.834000,59,-13.830600,309.4792500000,-0.6559474759,3.5556,1,6,1,0,3,1,3,3
Central,"United States",Texas,Pearland,1,2,2,3,494.996000,13,57.939300,247.4980000000,11.2500000000,3.0000,1,5,0,0,1,0,1,0
Central,"United States",Texas,Pharr,1,2,2,4,1540.708000,22,-237.552800,770.3540000000,-15.4184180260,5.5000,4,7,0,0,0,0,0,2
Central,"United States",Texas,Plano,1,8,8,15,3530.374600,44,-392.072800,441.2968250000,-7.6854369094,4.3750,3,6,0,1,2,0,2,2
Central,"United States",Texas,"Port Arthur",1,3,3,6,737.052800,12,105.776000,245.6842666667,14.3512106595,5.3333,5,6,0,0,0,0,0,0
Central,"United States",Texas,Richardson,1,1,1,2,1288.464000,12,-147.963000,1288.4640000000,NULL,2.0000,2,2,0,0,1,0,1,0
Central,"United States",Texas,"Round Rock",1,3,3,7,923.980800,574,-397.416900,223.9904000000,-97.3990849608,4.6667,4,5,1,1,1,1,1,2
Central,"United States",Texas,"San Angelo",1,2,2,4,638.988000,13,-58.553200,305.3120000000,-2.8571428571,4.0000,2,6,1,0,0,1,0,2
Central,"United States",Texas,"San Antonio",1,27,27,59,21633.136000,247,-7436.198800,832.0436923077,-35.2870011375,4.1852,0,7,1,0,4,1,4,12
Central,"United States",Texas,"San Marcos",1,1,1,4,108.444000,7,-13.400400,108.4440000000,NULL,2.0000,2,2,0,1,1,0,1,0
Central,"United States",Texas,"Texas City",1,2,2,3,790.972000,7,20.221800,395.4860000000,2.5565759597,5.5000,4,7,0,0,0,0,0,1
Central,"United States",Texas,"The Colony",1,2,2,3,142.160000,251,12.239200,71.0800000000,14.8519561208,0.5000,0,1,0,0,1,0,1,0
Central,"United States",Texas,Tyler,1,2,2,5,347.206000,16,-443.708600,173.6030000000,-127.7940473379,5.0000,5,5,0,0,0,0,0,2
Central,"United States",Texas,Waco,1,4,4,6,598.987200,17,-520.103400,118.3317333333,-26.4311742807,3.5000,0,6,1,0,0,1,0,3
Central,"United States",Wisconsin,Appleton,1,2,2,2,1671.310000,12,554.766300,835.6550000000,33.1935009065,3.5000,2,5,0,0,0,0,0,0
Central,"United States",Wisconsin,"Eau Claire",1,4,4,6,965.640000,21,427.497800,186.5933333333,38.9843152667,3.7500,3,4,1,0,0,1,0,0
Central,"United States",Wisconsin,Franklin,1,5,5,9,4774.250000,48,1292.775200,954.8500000000,27.0780792795,3.6000,1,5,0,0,0,0,0,0
Central,"United States",Wisconsin,"Green Bay",1,4,4,4,527.320000,14,228.476400,131.8300000000,43.3278464689,3.7500,2,5,0,0,0,0,0,0
Central,"United States",Wisconsin,Kenosha,1,3,3,9,3906.730000,37,1028.072800,1302.2433333333,26.3154300400,3.0000,1,4,0,0,0,0,0,0
Central,"United States",Wisconsin,"La Crosse",1,2,2,5,830.410000,22,272.076100,415.2050000000,32.7640683518,3.5000,2,5,0,0,0,0,0,0
Central,"United States",Wisconsin,Madison,1,4,4,10,5346.790000,37,1091.595400,1336.6975000000,19.9501420507,3.5000,0,7,0,0,1,0,1,0
Central,"United States",Wisconsin,Milwaukee,1,23,23,45,11410.220000,201,2773.839700,496.0965217391,24.2236542464,4.0000,0,6,0,0,1,0,1,0
Central,"United States",Wisconsin,Sheboygan,1,1,1,4,79.740000,10,22.749900,79.7400000000,NULL,6.0000,6,6,0,0,1,0,1,0
Central,"United States",Wisconsin,Superior,1,2,2,9,1299.730000,37,514.082200,649.8650000000,39.5529994691,5.0000,5,5,0,0,0,0,0,0
